iter	Passed	Remaining
760	1146	360
761	1147	358
762	1148	356
763	1149	355
764	1150	353
765	1151	351
766	1153	350
767	1154	348
768	1155	347
769	1157	345
770	1158	344
771	1159	342
772	1160	340
773	1162	339
774	1163	337
775	1164	336
776	1165	334
777	1166	332
778	1167	331
779	1168	329
780	1169	328
781	1170	326
782	1171	324
783	1173	323
784	1174	321
785	1175	319
786	1176	318
787	1178	316
788	1179	315
789	1180	313
790	1181	312
791	1182	310
792	1183	309
793	1185	307
794	1186	305
795	1187	304
796	1188	302
797	1189	301
798	1191	299
799	1192	298
800	1194	296
801	1195	295
802	1196	293
803	1197	291
804	1198	290
805	1199	288
806	1201	287
807	1202	285
808	1203	284
809	1204	282
810	1205	280
811	1206	279
812	1207	277
813	1208	276
814	1209	274
815	1211	273
816	1212	271
817	1213	269
818	1214	268
819	1215	266
820	1216	265
821	1217	263
822	1218	262
823	1219	260
824	1220	258
825	1221	257
826	1222	255
827	1223	254
828	1224	252
829	1225	251
830	1227	249
831	1228	248
832	1229	246
833	1230	244
834	1231	243
835	1232	241
836	1233	240
837	1235	238
838	1236	237
839	1237	235
840	1239	234
841	1240	232
842	1241	231
843	1242	229
844	1243	228
845	1244	226
846	1245	225
847	1246	223
848	1247	221
849	1248	220
850	1249	218
851	1250	217
852	1252	215
853	1253	214
854	1254	212
855	1255	211
856	1257	209
857	1258	208
858	1259	206
859	1260	205
860	1261	203
861	1262	202
862	1263	200
863	1264	198
864	1265	197
865	1266	195
866	1267	194
867	1268	192
868	1270	191
869	1271	189
870	1272	188
871	1273	186
872	1274	185
873	1275	183
874	1276	182
875	1278	180
876	1279	179
877	1280	177
878	1281	176
879	1282	174
880	1284	173
881	1285	171
882	1286	170
883	1287	168
884	1288	167
885	1290	166
886	1291	164
887	1292	163
888	1293	161
889	1294	159
890	1295	158
891	1296	156
892	1297	155
893	1299	154
894	1300	152
895	1301	151
896	1302	149
897	1303	148
898	1304	146
899	1305	145
900	1307	143
901	1308	142
902	1309	140
903	1310	139
904	1311	137
905	1312	136
906	1314	134
907	1315	133
908	1316	131
909	1317	130
910	1318	128
911	1319	127
912	1320	125
913	1321	124
914	1322	122
915	1323	121
916	1324	119
917	1325	118
918	1326	116
919	1328	115
920	1329	114
921	1331	112
922	1332	111
923	1333	109
924	1334	108
925	1335	106
926	1336	105
927	1337	103
928	1338	102
929	1339	100
930	1340	99
931	1341	97
932	1343	96
933	1344	94
934	1345	93
935	1346	92
936	1347	90
937	1348	89
938	1349	87
939	1350	86
940	1351	84
941	1352	83
942	1353	81
943	1354	80
944	1355	78
945	1356	77
946	1357	76
947	1359	74
948	1360	73
949	1361	71
950	1362	70
951	1363	68
952	1365	67
953	1366	65
954	1367	64
955	1368	62
956	1369	61
957	1370	60
958	1371	58
959	1372	57
960	1374	55
961	1375	54
962	1376	52
963	1377	51
964	1378	50
965	1379	48
966	1380	47
967	1381	45
968	1382	44
969	1383	42
970	1384	41
971	1386	39
972	1387	38
973	1389	37
974	1391	35
975	1392	34
976	1395	32
977	1396	31
978	1398	29
979	1399	28
980	1401	27
981	1403	25
982	1405	24
983	1406	22
984	1408	21
985	1410	20
986	1411	18
987	1412	17
988	1413	15
989	1414	14
990	1416	12
991	1417	11
992	1418	9
993	1419	8
994	1420	7
995	1421	5
996	1422	4
997	1423	2
998	1424	1
999	1425	0
